Cristiano Ronaldo dos Santos Aveiro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Thomas Amilivia can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lassana Diako can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jacob Gardiner-Smith can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kristoffer Hoven can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Conor Levingston can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dominik Reiter can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marian Târșă can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Blaž Kramer can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Thibault Rambaud can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marco Stefandl can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Harold Estupiñan can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Macauley Bonne can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Omari Patrick can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Burak Kavlak can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Emil Holten can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kieran Wallace can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gary O'Neill can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marios Ogkmpoe can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Thore Baardsen Pedersen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Adam Roscrow can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Guillermo Murillo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Eoghan Stokes can substitute for the position ls, Left striking position, which is a(n) attacker position. 
高华泽 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sindre Mauritz-Hansen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gordon Wild can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sondre Liseth can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marvin Geran can substitute for the position ls, Left striking position, which is a(n) attacker position. 
José de Jesus González can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Magnus Blakstad can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ryan Swan can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Brian Wright can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Benedikt Zahn can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nathan Boyle can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ethan González can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jordan Archer can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cristóbal Marín can substitute for the position ls, Left striking position, which is a(n) attacker position. 
李圣龙 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kevin Ellison can substitute for the position ls, Left striking position, which is a(n) attacker position. 
李本建 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Facundo Emmanuel Melivillo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
John Popelard can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yevhen Radionov can substitute for the position ls, Left striking position, which is a(n) attacker position. 
